network,withinID,start1,end1,network2,withinID2,start2,end2
MFN_L,4,330,370,DMN_R,7,630,670
MON_L,17,1630,1670,DMN_R,10,930,970
MFN_L,11,1030,1070,FPN_L,4,330,370
MON_L,6,530,570,FPN_L,3,230,270
SC_L,7,630,670,FPN_L,3,230,270
MFN_L,10,930,970,FPN_L,1,30,70
MFN_L,11,1030,1070,FPN_L,2,130,170
MON_L,1,30,70,FPN_L,6,530,570
MFN_L,11,1030,1070,FPN_L,8,730,770
MON_L,4,330,370,FPN_L,5,430,470
MON_L,7,630,670,FPN_L,8,730,770
Vis1_L,1,30,70,FPN_L,7,630,670
MON_R,3,230,270,FPN_L,9,830,870
MON_L,1,30,70,FPN_R,12,1130,1170
MON_L,5,430,470,FPN_R,16,1530,1570
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_R,3,230,270,FPN_R,14,1330,1370
MON_L,1,30,70,FPN_R,12,1130,1170
MON_L,12,1130,1170,FPN_R,4,330,370
MON_L,2,130,170,FPN_R,13,1230,1270
MON_L,3,230,270,FPN_R,14,1330,1370
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,12,1130,1170,FPN_R,4,330,370
MON_L,5,430,470,FPN_R,16,1530,1570
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,13,1230,1270,FPN_R,5,430,470
MON_L,19,1830,1870,FPN_R,11,1030,1070
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,12,1130,1170,FPN_R,4,330,370
SC_L,7,630,670,FPN_R,18,1730,1770
MON_L,5,430,470,FPN_R,16,1530,1570
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,13,1230,1270,FPN_R,5,430,470
MON_L,14,1330,1370,FPN_R,6,530,570
MON_L,19,1830,1870,FPN_R,11,1030,1070
SC_L,11,1030,1070,FPN_R,3,230,270
Vis1_L,1,30,70,FPN_R,19,1830,1870
MON_R,2,130,170,FPN_R,13,1230,1270
MON_R,4,330,370,FPN_R,15,1430,1470
MON_R,11,1030,1070,FPN_R,3,230,270
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,19,1830,1870,FPN_R,11,1030,1070
Vis1_L,1,30,70,FPN_R,19,1830,1870
SC_R,6,530,570,FPN_R,2,130,170
SC_R,7,630,670,FPN_R,3,230,270
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,13,1230,1270,FPN_R,5,430,470
MON_L,19,1830,1870,FPN_R,11,1030,1070
SC_L,9,830,870,FPN_R,1,30,70
SC_L,11,1030,1070,FPN_R,3,230,270
Vis1_L,1,30,70,FPN_R,19,1830,1870
MON_R,3,230,270,FPN_R,14,1330,1370
MON_R,4,330,370,FPN_R,15,1430,1470
