network,withinID,start1,end1,network2,withinID2,start2,end2
MON_L,16,1530,1570,FPN_R,8,730,770
MON_L,17,1630,1670,FPN_R,9,830,870
VA_L,1,30,70,FPN_R,12,1130,1170
DMN_R,8,730,770,FPN_R,18,1730,1770
MON_L,17,1630,1670,MFN_L,5,430,470
MON_L,18,1730,1770,MFN_L,5,430,470
SC_L,5,430,470,MFN_L,11,1030,1070
SC_L,7,630,670,MFN_L,13,1230,1270
DMN_R,8,730,770,MFN_L,9,830,870
SC_L,7,630,670,MFN_L,6,530,570
VA_L,1,30,70,MFN_L,3,230,270
DMN_R,8,730,770,MFN_R,5,430,470
DMN_R,8,730,770,MON_L,18,1730,1770
DMN_R,8,730,770,MON_L,18,1730,1770
Vis1_L,4,330,370,MON_L,3,230,270
Vis2_L,2,130,170,MON_L,9,830,870
Vis1_R,6,530,570,MON_L,12,1130,1170
Vis1_R,5,430,470,MON_L,11,1030,1070
Vis2_R,1,30,70,MON_L,16,1530,1570
MFN_R,10,930,970,MON_R,16,1530,1570
MFN_R,7,630,670,MON_R,5,430,470
MFN_R,9,830,870,MON_R,7,630,670
MON_R,12,1130,1170,MON_R,20,1930,1970
MON_R,18,1730,1770,MON_R,3,230,270
MON_R,19,1830,1870,MON_R,4,330,370
MON_R,20,1930,1970,MON_R,5,430,470
MON_R,16,1530,1570,SC_L,8,730,770
MON_R,20,1930,1970,SC_L,12,1130,1170
VA_R,3,230,270,SC_L,19,1830,1870
VA_R,6,530,570,SC_L,3,230,270
MFN_R,8,730,770,SC_L,9,830,870
MFN_R,9,830,870,SC_L,10,930,970
MON_R,18,1730,1770,SC_L,10,930,970
MFN_R,10,930,970,SC_L,11,1030,1070
MON_R,20,1930,1970,SC_L,12,1130,1170
VA_R,3,230,270,SC_L,19,1830,1870
VA_R,6,530,570,SC_L,3,230,270
MFN_R,8,730,770,SC_L,9,830,870
MON_R,7,630,670,SC_L,18,1730,1770
MON_R,7,630,670,SC_L,18,1730,1770
MON_R,18,1730,1770,SC_L,10,930,970
MON_R,20,1930,1970,SC_L,12,1130,1170
MON_R,20,1930,1970,SC_L,12,1130,1170
VA_R,6,530,570,SC_L,3,230,270
MON_R,20,1930,1970,SC_R,3,230,270
MON_R,9,830,870,SC_R,6,530,570
MON_R,18,1730,1770,SC_R,29,2830,2870
MON_R,13,1230,1270,SC_R,38,3730,3770
MON_R,18,1730,1770,SC_R,21,2030,2070
MON_R,19,1830,1870,SC_R,39,3830,3870
MON_R,20,1930,1970,SC_R,1,30,70
VA_R,7,630,670,Vis1_L,7,630,670
Vis1_R,7,630,670,Vis1_R,1,30,70
