network,withinID,start1,end1,network2,withinID2,start2,end2
Vis2_L,2,130,170,MFN_R,10,930,970
Vis2_L,3,230,270,MFN_R,1,30,70
VA_L,7,630,670,MON_L,18,1730,1770
Vis2_L,1,30,70,MON_L,8,730,770
Vis1_L,7,630,670,MON_L,6,530,570
Vis2_L,2,130,170,MON_L,9,830,870
Vis2_L,3,230,270,MON_L,10,930,970
Vis2_L,1,30,70,MON_L,8,730,770
Vis2_L,3,230,270,MON_L,10,930,970
Vis1_R,6,530,570,MON_L,12,1130,1170
Vis2_R,1,30,70,MON_L,16,1530,1570
Vis2_L,2,130,170,MON_L,9,830,870
Vis2_L,3,230,270,MON_L,10,930,970
Vis1_R,6,530,570,MON_L,12,1130,1170
Vis2_R,1,30,70,MON_L,16,1530,1570
Vis2_L,3,230,270,MON_L,10,930,970
Vis1_R,6,530,570,MON_L,12,1130,1170
Vis1_R,5,430,470,MON_L,11,1030,1070
Vis1_R,6,530,570,MON_L,12,1130,1170
Vis2_R,1,30,70,MON_L,16,1530,1570
VA_R,6,530,570,MON_R,15,1430,1470
Vis2_R,2,130,170,MON_R,14,1330,1370
Vis2_R,1,30,70,SC_R,2,130,170
Vis2_R,1,30,70,Vis1_R,1,30,70
Vis1_R,6,530,570,Vis1_R,9,830,870
Vis2_R,1,30,70,Vis1_R,4,330,370
Vis2_R,1,30,70,Vis1_R,6,530,570
Vis2_R,2,130,170,Vis2_R,3,230,270
